text,label,notes
"Mono using Pokemons I like (3/18). Finally got my get back against Moleman Took the Seaking and Pyukumuku ideas from those gym leaders. Azumarill Belly Drum + Aqua Jet is genuinely so strong. Unironically probably OHKO swept 20/30 pokemons for this champion run. Dual Drizzle with Politoed and Pelliper was fun too. I got to pair them with Swift Swim Seaking w/ Fishious Rend + Swift Swim Mega Swampert Pyukumuku stall the ‘ol reliable as always. This team was really quite strong, enough for me to not change movesets like I had for every other previous run.",achievements,"Could be team_building because the User discusses team strategy, but primary purpose is sharing a completed run and personal accomplishment."
"Which one should I pick, Expert difficulty fresh save. What's the best of 3, or which is most economical to fix. Or last are all 3 of these good enough for expert difficulty. And at last are female starters superior to males due to ditto breeding, and if so where and how to access a perfect Ditto father.",help_request,"Could be team_building because the User is asking about a pokemon, but primary purpose is asking which pokemon is good for the expert difficulty, a gameplay feature."
Mono-Water Team. Currently on my 2nd play through and planning my third any team member or move suggestions let me know:)was thinking of doing drizzle/swift swim/thunderbolt for sum good synergy. I’ll prolly go back to vanilla cuz this is my first mono run evr,team_building,"Could be discussion becaue the User's tone is like a conversation, but User is asking others to let them know if they have suggestions of the movesets or members."
Finnaly finished my first run of Pokemon Unbound. This is one of the “original” rom hacks I really enjoyed. Second to Heart & Soul. What do you think my team says about me?,achievements,Could be discussion because the user brings out a discussion when they ask about what their team says about them. But the purpose of this post is showcasing the user's first completion of the Elite four.
New file!!! Just started a new file and plan to go all out - living Pokédex too! Anyone else doing a living dex?,discussion,
"FINALLY GOT MY FIRST WILD SHINY ENCOUNTER AFTER 5000+ ENCOUNTERS. Im not sure how much time i spent trying to get this guy, but it's totally worth it.",achievements,
"...what the heck did I just witness? So, is the mom a Ditto? They're both Dittos? Did the kid just get kidnapped? Did the mom Ditto turn her into a Ditto? What?",help_request,
"E4 Elias resisting Shadow Tag? I’m using Shadow Tag Gothitelle, but it doesn’t seems to work. Does it count as an “entry hazard?” The wiki only uses Spikes as an example Aegislash enters first, I then switch in Gothitelle. Few rounds later he simply leaves after I taunt. Does substitute deactivate shadow tag? Does shadow tag count as entry hazard Wiki also says safeguard and substitute can only be used by ghost types - does shadow tag ability count among them somehow?",help_request,
"The slots are calling me. Gambling for Pokémon, can't believe I'm doing it lmao",discussion,
Halfway through the game finally. First run through the game I got most of my missions finished and alot of mega stones already,achievements,
"My Glorious King.. This beast just tanked Head Smash and Ice Shard from Donphan and lived 16 HP (I risked it by setting up Dragon Dance and Donphan used Head Smash my health went yellow immediately, and was about to attack with aerilate return but it has ice shard, so it attacked first but my GOAT managed to survive with 16 HP thanks to its decent hp and high good physical defense). It's my last pokemon I have and that NPC still have 4 left, and still managed to sweep by one fearsome Dragon, he alone is the honored one... If any other of his mon have priority attacks it would have ended my streak... Salamence has been my ace since Gen 3 started It will continue to be my No.1 Favorite Pokemon....",discussion,
"Nature/ability change accessibility. Difficult mode, second gym. Stuck resetting the poke center clefairy for a bold one. And wanted to ask, how important is it to get the right nature, ability and that stuff? Like, i know they are quite important, but I also know this game lets us change them later, but how accessible is it? Is it too late? How much do these things matter until I reach them and can comfortably make use of them?",help_request,
"Finished Unbound a year ago, struggling to enjoy any other Pokemon game.I love this game so much, my favourite gaming experience ever. I'm now really struggling to enjoy replaying any of the old original Pokemon games. And I can't find any other Rom Hack that suits my vibe or is as fun as Unbound. The QoL features + content density + originality have made this so fun but sadly other games are unplayable now for me. Anyone else who has felt this way? Any recommendations? Edit: Thank you to everyone for your comments and suggestions :) ",discussion,"Could be help_request but the User is describing their Game experience, the User doesn't seek advice in any game features."
Finally beat the game on Expert. Darkrai and Slaking are GODS,achievements,
Starting my first new game+ (expert) and had some questions. I am trying to put together a team to play through new game+ for the first time on expert and I'm wondering how important it is to have entry hazards for my team. When I beat the elite 4 on expert I noticed alot more swapping from the computer and while I don't mind having a setter i don't want to waste a slot if regular trainers aren't swapping alot. Thanks,team_building,Could be help_request but the User is advice about a pokemon team strategy.
Any Tips for my team (Vanilla). I don’t know what I’m doing for moveset yet and I don’t plan on changing any of my pokemon this is all I got rn,team_building,
"Battle tower 72 STREAK standard NO SAVE STATES. This is unbelieveable, so few days ago i published i got 50 streak on this facility, but i noticed i didnt even continued the record and i got even more far, damn i love this game.",achievements,
"First playthrough, Expert, about to hit E4. Any recommendations for what I got? The first six are who I'd ideally like to use. The other four (Serperior, Milotic, Kingdra, Togekiss) I have used a lot and properly trained up and am willing to swap them in if I'm screwed otherwise (ignore Serperior's slightly borked EVs). Movesets are not final, they're just what I had on Victory Road. Any moveset changes? Absolutely necessary team swaps? I'm especially looking for held item recommendations. Metagross is obviously my main mega but I also have Venusaurite. Thanks!",team_building,
"Ran it back on Expert. Team of mid + metagross, the difficulty difference between insane and expert is wild.",achievements,"Could be discussion, the User is describing their pokemon team but the main purpose of the post is to share them completing the Elite Four in Expert Difficulty."
"Wild caught pokemon gaining boosted EXP. Just curious, never seen it in a mainline without Pokémon Amei, but I wild caught a Nidroran-f, and she gains boosted exp. I have a Nidoran-m from the same area and does not gain boosted. Even when they both have participated in battle, the EXP description is split.",help_request,"Could be discussion, the User is doesn't specifically ask a question, but the User is clarifying an information."
Is it a prob if I change time of my device. I changed the time of my device so I could get the last zygarde cell I needed which was on the SS marine bit since It is currently Saturday I changed it to Monday the 22 and the back to now so I was wondering if I will come across any prob now since I did it or will it only be for today where I can't do raid dens,help_request,
Team Discussion - Difficult. Hello! Currently training my team for E4. Any suggestions?,team_building,
Gardevoir won't evolve with dawn stone? I'm trying to use the dawn stone to evolve gardevoir but it's not working. Any ideas/help would be greatly appreciated.,help_request,
"Battle Sands 71 STREAK standard NO SAVE STATES!! I cannot even believe it, few days ago i got main battle tower 50 streak without save states And today i got 71 streak on battle sand, focus sash garchomp, z mimikyum",achievements,
nuzlock question. I have been playing pokemon unbound for a while and a month ago i wanted to nuzlock it and i have come to the conclusion that its not possible to nuzlock it (at least for me). I am not that good in difficulty rom hacks but whenever i try to do it i always get stuck at Vega on a normal run (no random pokemon/ability). Please let me know if there is a way to beat the 2nd gym,help_request,
"Finally Made It! (Difficult). After a few restarted runs over the years I finally made it to the Elite 4 and became Champion whilst sticking to my favourite Pokémon. Honourable mention to Yanma who I kept in my team unevolved throughout the game and picked off some surprise results, being able to finish off Tess' final 3 Pokémon in the 7th Gym, but ultimately I had to sacrifice him to be able to hold my own against the Elite 4 (Sand Rush Excadrill traumatised me - Looking at you Mega Trainer Travon with your focus sashed Excadrill). Sableye was the replacement and boy did he come up big. Really enjoyed the game, such an amazing ROM Hack and the first one I've ever completed! Hopefully this one doesn't ruin it for the rest of them!",achievements,
Can anyone help me with my team on Vanilla. I want to have a fire water grass core,team_building,
"Hands up, how many of you fell for the fake remake post? I’m in bed with a cold and have nothing better to do right now, so I was wondering about this. To list just a few of the many red flags, no screenshots of new features, crazy feature scope, no prior experience of rom hacking, and admits to not even having played the game they’re supposedly working on. Anyway, considering the unlikely amount of traction the post got and the size of this sub, I was curious how many of the other commenters there are even real? People aren’t normally this gullible, but the classic psychological trick is to fill the room with confederates and you can get the outnumbered participant to believe the sky is green if everyone else is saying it. But on the off chance this thing turns out to be real and not a vibe coded mess I will box my starter and beat the rest of the game and the elite four with a Bidoof on my team lol",discussion,
"YOU ARE MY ONLY with garchomp on difficult difficulty with no items. Honestly this by far is the hardest challenge i had ever attempted surprisingly the hardest part was a move set to pass Elias rather then arabella because of will O wisp that move gave me nightmares and made the challenge take weeks for me to figure out a way to get past his team I had tried using all different types of items (king's rock, leftovers, lum Berry, focus sash, dragonuim Z and grounduim Z) and countless move sets as well to get past him all to no avail until it hit me and remembered that there's no banned moves in unbound and made me come up with a devious plan sadly it takes a bit of luck to get the strategy working which is actually a strategy that had seen some competitive play for garchomp, if anyone knows anything about why sand veil is banned in OU then you get the drift of the strategy, and once I beat Elias the rest were a breeze, I used the same strategy for arabella with break break instead of EQ and For defending my title I changed Break break for dragon claw, for mole man and the dragon girl I used outrage and EQ with leftovers for mole man and outrage with draco plate for the other one the strategy wasn't needed for the both of them Words can not express how happy I am about this achievement and I am happy to share this strategy with everyone for anyone who wants to do the challenge with their own gaby in the future",achievements,
"My biggest wish for the final update. I really want one thing added in the update and it is simple The Arceus Plates to not be locked behind the Mining and just grinding for things I think itd be way cooler if you could find them around borrius or some are bonus rewards for missions! To me it seems like an obvious kind of thing to do, Im really not sure why they didnt do that kind of thing- What are your wishes for the final update? And dont say ""I want ALL gen 9 Pokemon AND the New Megas!!!"" Be original.",discussion,
Finally finished my first playthrough. Honestly a really damn great game.Kinda Wish my cryo gonal sucks less tho,achievements,
"Would like help with the first ""Unbound"" playthrough. What would I like help with? Picking move sets for my team and am open to better team suggestions in terms of best or most powerful with best synergy etc. (Because there are too many damn moves to consider and I'm curious what the best move set might be for my team). Would also like to know the suggestions behind the move sets being suggested. (I'm okay with story spoilers, I'm just here more for the gameplay) Quick background: Playing a bit of Alpha Sapphire right now and thinking of stopping, maybe not my thing? I looked into ROM hacks for the first time and settled in on Unbound. Mostly for fun with a decent enough challenge without going full sweet mode. (Already completed Yellow, Platinum, Heartgold, Crystal, Black and Black 2 within the past year and mostly enjoyed it) I have not settled on a difficulty, I've never bothered with EVs, I'm kinda more just for rule of cool in a way based on my personal restrictions. Maybe light EVs might be fine or if doing EV is too difficult or boring? So I think I'd either chose ""Difficult"" or maybe ""Expert"" difficulty as the most likely. Maybe ""Difficult."" Personal restrictions: (They're more thematic restrictions than anything else) Only gen 1 and 2 Pokémon (does not apply to starters) - I just liked the look of them the most Any Eevee evolution is allowed (regardless of generation) No legendary Pokémon Mega evolutions allowed No pseudo legendary spam (so no half the team being Metagross, Tyranitar and Garchomp in the same team) The team I'm considering so far: (I am pretty set on the team below, but I am open to suggestions for changing the team based on personal restrictions above) Metagross (Main mega) Gyarados Crobat Espeon Lapras Arcanine EDIT: (After reading a few replies) I think I'mma stick to ""Difficult"" difficulty settings. Also, I found this website so I can at least keep track of stuff as the ROM has apparently changed the stats of many moves as well. https://pokemonunboundpokedex.com/national/ EDIT2: After more tinkering around (Because I like doing so in general), I revised my team to: Mega Metagross - Main win condition Kingdra - Secondary win condition / mid-game closer Crobat - Fast utility/revenge killer Arcanine - Intimidate pivot Gengar - Special tempo breaker / offensive disruptor Nidoking - Universal coverage breaker / matchup solver / emergency stabiliser",team_building,
"just for the record,nobody plays on expert right? its my first time playing unbound or a rom hack in general,and idk if its the difficulty but the game is fucking me hard w the IVs and nature and only sending opponents countering me. anybody relates?",discussion,Could be help_request but the User is asking other people's of their opinions.
"Good team for a casual Pokémon Unbound run? Hi everyone I'm starting a casual playthrough of Pokémon Unbound and was wondering what teams people would recommend. I'm not looking for anything super competitive or optimized for higher difficulties—just a fun, balanced team that's enjoyable to use throughout the game. Any Pokémon you'd consider must-haves, underrated picks, or good team compositions for a casual run? Thanks!",team_building,
"Any tips on Soloing Elite 4 in Expert Difficulty in NG+? This is in regards to a mission from the NPC in the League. I need help on what team setup + strat you guys can give me, I've been trying to find for a solution and experimenting on some but I always end up losing halfway on the 4 elites with whatever pokemon I have. My cousin said Gliscor and Cradily stands a fair chance on expert but he never really taught me on what strat. I appreciate the help.",team_building,
